User_ID,Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Work_Study_Hours,Sleep_Hours,Daily_App_Opens
USR_001,5.4,1.6,0.1,7.8,7.7,45.0
USR_002,4.9,1.3,0.4,7.8,7.8,71.0
USR_003,5.5,1.2,0.4,6.8,8.1,85.0
USR_004,6.2,1.7,0.3,7.7,8.1,72.0
USR_005,4.8,1.9,0.5,7.8,6.7,42.0
USR_006,4.8,1.9,0.6,6.8,6.9,54.0
USR_007,6.3,1.2,1.1,9.4,7.8,75.0
USR_008,5.6,1.4,0.6,8.0,7.8,52.0
USR_009,4.6,1.6,0.6,6.3,7.8,65.0
USR_010,5.4,1.9,0.5,8.2,9.8,69.0
USR_011,4.6,1.3,0.0,6.5,7.8,49.0
USR_012,4.6,1.4,0.5,8.3,8.2,59.0
USR_013,5.2,,0.5,8.7,8.1,21.0
USR_014,3.5,1.0,1.2,6.7,7.9,48.0
USR_015,3.6,1.8,0.4,8.5,7.3,57.0
USR_016,4.6,2.0,0.6,7.9,8.0,45.0
USR_017,4.2,1.5,0.5,8.3,7.0,80.0
USR_018,5.3,1.9,0.1,9.4,7.4,43.0
USR_019,4.3,1.6,0.8,7.3,7.2,55.0
USR_020,3.9,1.2,0.7,6.7,7.5,62.0
USR_021,6.2,1.6,0.7,6.6,8.9,77.0
USR_022,4.8,2.1,0.2,6.7,6.4,43.0
USR_023,5.1,1.5,0.9,7.4,7.9,74.0
USR_024,3.9,2.1,0.1,7.8,6.5,60.0
USR_025,4.6,0.5,0.7,7.8,7.2,48.0
USR_026,5.1,1.8,1.2,8.3,8.2,66.0
USR_027,4.1,1.5,0.2,7.5,7.5,62.0
USR_028,5.3,1.4,0.3,9.0,6.9,53.0
USR_029,4.5,1.5,0.5,7.2,7.1,61.0
USR_030,4.8,0.7,0.3,10.2,7.9,55.0
USR_031,4.5,1.4,0.0,8.1,7.1,61.0
USR_032,6.5,1.6,0.5,6.6,7.6,68.0
USR_033,5.0,2.1,0.2,6.4,7.5,79.0
USR_034,4.2,1.3,0.6,8.0,7.1,45.0
USR_035,5.7,1.2,0.2,7.3,8.8,86.0
USR_036,4.0,1.3,1.0,8.2,7.9,37.0
USR_037,5.2,1.9,0.3,8.0,6.3,58.0
USR_038,3.4,1.6,0.4,7.4,7.6,67.0
USR_039,3.9,1.3,0.7,6.7,7.1,63.0
USR_040,5.2,1.7,0.1,6.0,8.0,53.0
USR_041,5.6,1.5,0.6,7.1,7.0,58.0
USR_042,5.1,1.9,0.9,8.4,7.4,54.0
USR_043,4.9,1.2,0.0,7.7,7.8,53.0
USR_044,4.8,1.4,0.6,6.3,8.0,70.0
USR_045,3.8,1.3,0.6,7.7,6.8,64.0
USR_046,4.4,0.9,0.7,7.9,,52.0
USR_047,4.6,1.6,0.1,6.6,7.2,71.0
USR_048,5.8,1.6,0.1,7.7,7.1,64.0
USR_049,5.3,1.5,0.7,7.6,8.6,70.0
